(l1, l2, l3, m1, m2, m3)
(0, 0, 0, 0, 0, 0): 1/(2*sqrt(pi))
(0, 1, 1, 0, -1, -1): 1/(2*sqrt(pi))
(0, 1, 1, 0, 0, 0): 1/(2*sqrt(pi))
(0, 1, 1, 0, 1, 1): 1/(2*sqrt(pi))
(0, 2, 2, 0, -2, -2): 1/(2*sqrt(pi))
(0, 2, 2, 0, -1, -1): 1/(2*sqrt(pi))
(0, 2, 2, 0, 0, 0): 1/(2*sqrt(pi))
(0, 2, 2, 0, 1, 1): 1/(2*sqrt(pi))
(0, 2, 2, 0, 2, 2): 1/(2*sqrt(pi))
(0, 3, 3, 0, -3, -3): 1/(2*sqrt(pi))
(0, 3, 3, 0, -2, -2): 1/(2*sqrt(pi))
(0, 3, 3, 0, -1, -1): 1/(2*sqrt(pi))
(0, 3, 3, 0, 0, 0): 1/(2*sqrt(pi))
(0, 3, 3, 0, 1, 1): 1/(2*sqrt(pi))
(0, 3, 3, 0, 2, 2): 1/(2*sqrt(pi))
(0, 3, 3, 0, 3, 3): 1/(2*sqrt(pi))
(0, 4, 4, 0, -4, -4): 1/(2*sqrt(pi))
(0, 4, 4, 0, -3, -3): 1/(2*sqrt(pi))
(0, 4, 4, 0, -2, -2): 1/(2*sqrt(pi))
(0, 4, 4, 0, -1, -1): 1/(2*sqrt(pi))
(0, 4, 4, 0, 0, 0): 1/(2*sqrt(pi))
(0, 4, 4, 0, 1, 1): 1/(2*sqrt(pi))
(0, 4, 4, 0, 2, 2): 1/(2*sqrt(pi))
(0, 4, 4, 0, 3, 3): 1/(2*sqrt(pi))
(0, 4, 4, 0, 4, 4): 1/(2*sqrt(pi))
(0, 5, 5, 0, -5, -5): 1/(2*sqrt(pi))
(0, 5, 5, 0, -4, -4): 1/(2*sqrt(pi))
(0, 5, 5, 0, -3, -3): 1/(2*sqrt(pi))
(0, 5, 5, 0, -2, -2): 1/(2*sqrt(pi))
(0, 5, 5, 0, -1, -1): 1/(2*sqrt(pi))
(0, 5, 5, 0, 0, 0): 1/(2*sqrt(pi))
